name,date,value,z_score
SSR RSI Smoothed,2015-03-30,,
SSR RSI Smoothed,2015-03-31,,
SSR RSI Smoothed,2015-04-01,,
SSR RSI Smoothed,2015-04-02,,
SSR RSI Smoothed,2015-04-03,,
SSR RSI Smoothed,2015-04-04,,
SSR RSI Smoothed,2015-04-05,,
SSR RSI Smoothed,2015-04-06,,
SSR RSI Smoothed,2015-04-07,,
SSR RSI Smoothed,2015-04-08,,
SSR RSI Smoothed,2015-04-09,,
SSR RSI Smoothed,2015-04-10,,
SSR RSI Smoothed,2015-04-11,,
SSR RSI Smoothed,2015-04-12,,
SSR RSI Smoothed,2015-04-13,,
SSR RSI Smoothed,2015-04-14,,
SSR RSI Smoothed,2015-04-15,,
SSR RSI Smoothed,2015-04-16,,
SSR RSI Smoothed,2015-04-17,,
SSR RSI Smoothed,2015-04-18,,
SSR RSI Smoothed,2015-04-19,,
SSR RSI Smoothed,2015-04-20,,
SSR RSI Smoothed,2015-04-21,,
SSR RSI Smoothed,2015-04-22,,
SSR RSI Smoothed,2015-04-23,,
SSR RSI Smoothed,2015-04-24,,
SSR RSI Smoothed,2015-04-25,,
SSR RSI Smoothed,2015-04-26,,
SSR RSI Smoothed,2015-04-27,,
SSR RSI Smoothed,2015-04-28,,
SSR RSI Smoothed,2015-04-29,,
SSR RSI Smoothed,2015-04-30,,
SSR RSI Smoothed,2015-05-01,,
SSR RSI Smoothed,2015-05-02,,
SSR RSI Smoothed,2015-05-03,,
SSR RSI Smoothed,2015-05-04,,
SSR RSI Smoothed,2015-05-05,,
SSR RSI Smoothed,2015-05-06,,
SSR RSI Smoothed,2015-05-07,84.88317438147521,-2.7996981442554927
SSR RSI Smoothed,2015-05-08,86.5652428722877,-2.953058287577862
SSR RSI Smoothed,2015-05-09,87.28426974987276,-3.0186145152828456
SSR RSI Smoothed,2015-05-10,87.74469313238573,-3.0605929461950447
SSR RSI Smoothed,2015-05-11,88.2706741361149,-3.1085484976825986
SSR RSI Smoothed,2015-05-12,88.7521419714186,-3.152445625909297
SSR RSI Smoothed,2015-05-13,88.30897782868271,-3.1120407810313804
SSR RSI Smoothed,2015-05-14,88.14564351740843,-3.097149013232802
SSR RSI Smoothed,2015-05-15,88.16274319366666,-3.0987080512957887
SSR RSI Smoothed,2015-05-16,88.23313467038749,-3.105125891602259
SSR RSI Smoothed,2015-05-17,88.41394597479524,-3.1216110987800496
SSR RSI Smoothed,2015-05-18,82.16851106855238,-2.552192672857755
SSR RSI Smoothed,2015-05-19,76.96397368198566,-2.077676561361627
SSR RSI Smoothed,2015-05-20,72.66983481046671,-1.6861647077246757
SSR RSI Smoothed,2015-05-21,69.08990448273377,-1.3597697772304782
SSR RSI Smoothed,2015-05-22,66.19147961556872,-1.0955101139257786
SSR RSI Smoothed,2015-05-23,63.70027689069898,-0.8683783359881513
